country,origin,system,status,url
NA,Soviet Union,T-72B,destroyed,https://i.postimg.cc/tRFL7Tj8/h7.jpg
NA,Russia,T-72B Obr. 1989,destroyed,https://postlmg.cc/HJF3Zn73
NA,Russia,T-72B3,abandoned,https://i.postimg.cc/2Src3YPH/b67.png
NA,Russia,T-72B3 Obr. 2016,abandoned,https://i.postimg.cc/Bb1f2rCj/b8.jpg
NA,Soviet Union,T-80BV,abandoned,https://i.postimg.cc/8Ck7L8Zk/m88.png
NA,Russia,T-80U,abandoned,https://i.postimg.cc/L6bcSj1H/77633.png
NA,Russia,T-80UK,abandoned,https://i.postimg.cc/Y0bvnMbC/l8.png
NA,Russia,T-80BVM,abandoned,https://i.postimg.cc/6pZrMGJj/5554.png
NA,Russia,T-90A,abandoned,https://i.postimg.cc/fT1zwVth/l2.png
NA,Russia,Unknown tank,abandoned,https://i.postimg.cc/Kjw2vWY5/l3.png
NA,Soviet Union,BRM-1K,abandoned,https://i.postimg.cc/prNhDTGN/n77.png 
NA,Soviet Union,BMP-1Khs,abandoned,https://i.postimg.cc/90L44nrM/f58.png
NA,Soviet Union,MT-LB,abandoned,https://i.postimg.cc/mg84T7cL/4g.jpg
NA,Soviet Union,MT-LB with ZU-23 AA gun,abandoned,https://i.postimg.cc/rF2MjVXk/5g3.jpg
NA,Soviet Union,MT-LBM 6MB,abandoned,https://i.postimg.cc/vBWYKzb7/47.png
NA,Soviet Union,MT-LB Ambulance,captured,https://i.postimg.cc/YCx7XJ5N/4r.png
NA,Soviet Union,MT-LBu,abandoned,https://i.postimg.cc/5ys6P3S7/652.png
NA,Soviet Union,1V13 battery fire control center,damaged,https://i.postimg.cc/Pf2gzrfP/f5.png
NA,Soviet Union,2S1 with ZU-23 AA gun,captured,https://i.postimg.cc/Zq13p4Tf/4680.png
NA,Soviet Union,9P149 Shturm-S ATGM carrier,captured,https://i.postimg.cc/7LFzTNhH/5466.png
NA,Russia,R-149MA1 unified command and staff vehicle,captured,https://i.postimg.cc/XY9XK8Qj/f25.png
