country,origin,system,status,url
Russia,Soviet Union,T-80BV,abandoned,https://i.postimg.cc/fbx3fPBg/665f.jpg
Russia,Soviet Union,T-80BV,abandoned,https://i.postimg.cc/X7GD7K2Y/h66.jpg
Russia,Soviet Union,T-80BV,captured,https://i.postimg.cc/63bVWQwX/470.png
Russia,Soviet Union,T-80BV,captured,https://i.postimg.cc/1zNj1Pjv/44355.png
Russia,Soviet Union,T-80BV,captured,https://i.postimg.cc/4yWGbC6D/578.png
Russia,Soviet Union,T-80BV,captured,https://i.postimg.cc/x1wjXw9J/3dj.png
Russia,Russia,T-80U,destroyed,https://i.postimg.cc/NM9ys7Kt/c8.png
Russia,Russia,T-80U,destroyed,https://i.postimg.cc/tJP6fPZC/n77.png
Russia,Russia,T-80U,destroyed,https://i.postimg.cc/F1tnjNHH/f431.png
Russia,Russia,T-80U,destroyed,https://i.postimg.cc/tRFL7Tj8/h7.jpg
Russia,Russia,T-80U,destroyed,https://postlmg.cc/HJF3Zn73
Russia,Russia,T-80U,abandoned,https://i.postimg.cc/2Src3YPH/b67.png
Russia,Russia,T-80U,abandoned,https://i.postimg.cc/Bb1f2rCj/b8.jpg
Russia,Russia,T-80U,abandoned,https://i.postimg.cc/8Ck7L8Zk/m88.png
Russia,Russia,T-80U,abandoned,https://i.postimg.cc/L6bcSj1H/77633.png
Russia,Russia,T-80U,abandoned,https://i.postimg.cc/Y0bvnMbC/l8.png
Russia,Russia,T-80U,abandoned,https://i.postimg.cc/6pZrMGJj/5554.png
Russia,Russia,T-80U,abandoned,https://i.postimg.cc/fT1zwVth/l2.png
Russia,Russia,T-80U,abandoned,https://i.postimg.cc/Kjw2vWY5/l3.png
Russia,Russia,T-80U,abandoned,https://i.postimg.cc/prNhDTGN/n77.png 
Russia,Russia,T-80U,abandoned,https://i.postimg.cc/90L44nrM/f58.png
Russia,Russia,T-80U,abandoned,https://i.postimg.cc/mg84T7cL/4g.jpg
Russia,Russia,T-80U,abandoned,https://i.postimg.cc/rF2MjVXk/5g3.jpg
Russia,Russia,T-80U,abandoned,https://i.postimg.cc/vBWYKzb7/47.png
Russia,Russia,T-80U,abandoned,https://i.postimg.cc/5ys6P3S7/652.png
Russia,Russia,T-80U,damaged,https://i.postimg.cc/Pf2gzrfP/f5.png
Russia,Russia,T-80U,captured,https://i.postimg.cc/Zq13p4Tf/4680.png
Russia,Russia,T-80U,captured,https://i.postimg.cc/7LFzTNhH/5466.png
Russia,Russia,T-80U,captured,https://i.postimg.cc/XY9XK8Qj/f25.png
Russia,Russia,T-80U,captured,https://i.postimg.cc/GtdbBMjV/4f7.png
Russia,Russia,T-80U,captured,https://i.postimg.cc/GmVvVvpf/8k.png
Russia,Russia,T-80U,captured,https://i.postimg.cc/7PWhmmcg/u8.jpg
Russia,Russia,T-80U,captured,https://i.postimg.cc/7PgrKTDY/s1.jpg
Russia,Russia,T-80U,captured,https://i.postimg.cc/Ls88PXB9/74.png
Russia,Russia,T-80U,captured,https://i.postimg.cc/HxYDSTTS/542.png
Russia,Russia,T-80U,captured,https://i.postimg.cc/NFhVD8bY/659.png
Russia,Russia,T-80U,captured,https://i.postimg.cc/JnK0gXrB/763.png
Russia,Russia,T-80U,captured,https://i.postimg.cc/nrBdhrmk/3da.png
Russia,Russia,T-80U,captured,https://i.postimg.cc/SxpBCFNR/4433.png
Russia,Russia,T-80U,captured,https://i.postimg.cc/nrLk93TH/d2c.png
Russia,Russia,T-80U,captured,https://i.postimg.cc/Kcg5Wc8N/o1.png
Russia,Russia,T-80U,captured,https://i.postimg.cc/sXz38mY9/32d.png
Russia,Russia,T-80U,captured,https://i.postimg.cc/YCx7XJ5N/4r.png
Russia,Russia,T-80U,captured,https://i.postimg.cc/nc7CpXxk/4y8.png
Russia,Russia,T-80UK,abandoned,https://i.postimg.cc/Tw85mW08/f4.png
Russia,Russia,T-80BVM,destroyed,https://i.postimg.cc/2y474krg/336.png
Russia,Russia,T-80BVM,destroyed,https://i.postimg.cc/pdQwzGBj/7763.png
Russia,Russia,T-80BVM,destroyed,https://i.postimg.cc/xdYHR8yF/f2h.png
Russia,Russia,T-80BVM,destroyed,https://i.postimg.cc/N0gj4tCc/4315.png
